prompt_id,report_id,overall_score,faithfulness,formality,clarity
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.33,5,4,4
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.33,5,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.33,5,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.33,5,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.33,5,4,4
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.0,4,4,4
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,3.67,4,3,4
NV_LA_openai,2,4.0,4,4,4
NV_LA_openai,1,4.0,5,3,4
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.33,5,4,4
NV_LA_openai,2,4.67,5,4,5
NV_LA_openai,1,4.33,5,4,4
NV_LA_openai,2,4.33,5,4,4
NV_LA_openai,1,4.0,5,3,4
NV_LA_openai,2,4.33,5,3,5
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.0,4,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.33,5,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.33,5,4,4
NV_LA_openai,1,5.0,5,5,5
NV_LA_openai,2,3.67,3,4,4
NV_LA_openai,1,4.67,5,4,5
NV_LA_openai,2,4.0,4,4,4
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.33,5,4,4
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,5.0,5,5,5
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.0,4,4,4
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.33,5,4,4
NV_LA_ollama,1,4.67,4,5,5
NV_LA_ollama,2,4.33,4,4,5
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.33,5,4,4
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.33,4,4,5
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,4.0,4,4,4
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,3.67,3,4,4
NV_LA_ollama,2,4.0,4,4,4
NV_LA_ollama,1,3.33,2,4,4
NV_LA_ollama,2,4.0,4,4,4
NV_LA_ollama,1,4.33,5,4,4
NV_LA_ollama,2,4.0,4,4,4
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,4.0,4,4,4
NV_LA_ollama,2,3.67,3,4,4
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,5.0,5,5,5
NV_LA_ollama,1,4.67,5,4,5
NV_LA_ollama,2,4.67,5,4,5
NV_LA_ollama,1,5.0,5,5,5
NV_LA_ollama,2,4.67,5,4,5
